"hourly_timestamp","mean_close"
"2017-09-10 02",4197.95316666667
"2017-09-10 03",4130.83883333333
"2017-09-10 04",4137.21433333333
"2017-09-10 05",4052.8515
"2017-09-10 06",3964.4125
"2017-09-10 07",3917.84966666667
"2017-09-10 08",4039.79033333334
"2017-09-10 09",4036.29033333333
"2017-09-10 10",3993.26983333333
"2017-09-10 11",4008.68516666667
"2017-09-10 12",4072.551
"2017-09-10 13",4069.27283333333
"2017-09-10 14",4100.6325
"2017-09-10 15",4121.434
"2017-09-10 16",4098.16133333334
"2017-09-10 17",4230.28383333333
"2017-09-10 18",4238.92333333333
"2017-09-10 19",4241.7025
"2017-09-10 20",4243.49316666667
"2017-09-10 21",4214.90283333333
"2017-09-10 22",4231.59466666667
"2017-09-10 23",4192.48466666667
"2017-09-11 00",4133.98783333333
"2017-09-11 01",4187.0625
"2017-09-11 02",4271.6175
"2017-09-11 03",4290.17516666667
"2017-09-11 04",4206.05366666667
"2017-09-11 05",4148.407
"2017-09-11 06",4178.15783333333
"2017-09-11 07",4185.58
"2017-09-11 08",4163.95016666667
"2017-09-11 09",4181.05433333333
"2017-09-11 10",4186.76383333333
"2017-09-11 11",4190.51366666667
"2017-09-11 12",4190.53216666667
"2017-09-11 13",4232.84666666667
"2017-09-11 14",4273.19433333333
"2017-09-11 15",4235.95916666666
"2017-09-11 16",4255.757
"2017-09-11 17",4240.223
"2017-09-11 18",4201.93466666666
"2017-09-11 19",4186.54483333333
"2017-09-11 20",4176.57133333333
"2017-09-11 21",4172.39683333333
"2017-09-11 22",4200.18283333333
"2017-09-11 23",4209.781
"2017-09-12 00",4218.961
"2017-09-12 01",4250.8455
"2017-09-12 02",4246.18166666667
"2017-09-12 03",4276.58016666667
"2017-09-12 04",4294.368
"2017-09-12 05",4312.145
"2017-09-12 06",4340.51383333333
"2017-09-12 07",4363.2355
"2017-09-12 08",4316.80916666667
"2017-09-12 09",4304.539
"2017-09-12 10",4315.007
"2017-09-12 11",4342.67033333333
"2017-09-12 12",4331.10683333334
"2017-09-12 13",4267.41166666667
"2017-09-12 14",4264.02316666667
"2017-09-12 15",4266.602
"2017-09-12 16",4233.71166666666
"2017-09-12 17",4250.12566666667
"2017-09-12 18",4109.35066666667
"2017-09-12 19",4112.91266666667
"2017-09-12 20",4141.92166666667
"2017-09-12 21",4176.935
"2017-09-12 22",4182.48783333333
"2017-09-12 23",4142.93733333333
"2017-09-13 00",4114.0675
"2017-09-13 01",4103.68816666667
"2017-09-13 02",4057.60283333333
"2017-09-13 03",3988.0505
"2017-09-13 04",3903.4005
"2017-09-13 05",3939.533
"2017-09-13 06",3944.2075
"2017-09-13 07",3950.55483333333
"2017-09-13 08",3922.4105
"2017-09-13 09",3952.11916666667
"2017-09-13 10",3904.4425
"2017-09-13 11",3826.9
"2017-09-13 12",3860.89916666667
"2017-09-13 13",3877.45516666667
"2017-09-13 14",3797.33833333333
"2017-09-13 15",3814.07633333333
"2017-09-13 16",3829.64333333333
"2017-09-13 17",3951.95283333333
"2017-09-13 18",3908.90083333333
"2017-09-13 19",3875.4065
"2017-09-13 20",3855.196
"2017-09-13 21",3885.981
"2017-09-13 22",3935.2445
"2017-09-13 23",3942.53
"2017-09-14 00",3920.18883333334
"2017-09-14 01",3929.34716666666
"2017-09-14 02",3896.241
"2017-09-14 03",3827.45233333333
"2017-09-14 04",3841.22316666667
"2017-09-14 05",3857.122
"2017-09-14 06",3842.18516666667
"2017-09-14 07",3853.96683333333
"2017-09-14 08",3827.506
"2017-09-14 09",3802.916
"2017-09-14 10",3733.99916666667
"2017-09-14 11",3557.6325
"2017-09-14 12",3572.2525
"2017-09-14 13",3483.55
"2017-09-14 14",3550.8685
"2017-09-14 15",3539.08816666667
"2017-09-14 16",3502.76233333333
"2017-09-14 17",3371.728
"2017-09-14 18",3349.18566666667
"2017-09-14 19",3421.31616666667
"2017-09-14 20",3403.5405
"2017-09-14 21",3330.3025
"2017-09-14 22",3306.91366666667
"2017-09-14 23",3257.06716666667
"2017-09-15 00",3293.45516666667
"2017-09-15 01",3380.64983333333
"2017-09-15 02",3420.61116666667
"2017-09-15 03",3371.041
"2017-09-15 04",3335.50916666667
"2017-09-15 05",3264.59
"2017-09-15 06",3206.79533333333
"2017-09-15 07",3081.99
"2017-09-15 08",3060.7225
"2017-09-15 09",3013.77
"2017-09-15 10",2961.79316666667
"2017-09-15 11",2902.93316666667
"2017-09-15 12",3186.201
"2017-09-15 13",3291.807
"2017-09-15 14",3675.821
"2017-09-15 15",3716.5395
"2017-09-15 16",3691.2345
"2017-09-15 17",3545.8745
"2017-09-15 18",3594.06933333333
"2017-09-15 19",3655.24933333333
"2017-09-15 20",3697.0625
"2017-09-15 21",3755.64666666667
"2017-09-15 22",3729.2435
"2017-09-15 23",3671.95683333333
"2017-09-16 00",3699.05766666667
"2017-09-16 01",3769.10466666667
"2017-09-16 02",3844.99133333333
"2017-09-16 03",3779.56133333333
"2017-09-16 04",3790.79033333333
"2017-09-16 05",3859.069
"2017-09-16 06",3790.1455
"2017-09-16 07",3825.859
"2017-09-16 08",3833.808
"2017-09-16 09",3796.7535
"2017-09-16 10",3589.6125
"2017-09-16 11",3610.28866666667
"2017-09-16 12",3616.43216666667
"2017-09-16 13",3622.52433333333
"2017-09-16 14",3708.909
"2017-09-16 15",3619.59416666667
"2017-09-16 16",3589.8715
"2017-09-16 17",3619.94983333333
"2017-09-16 18",3675.82516666667
"2017-09-16 19",3688.674
"2017-09-16 20",3676.25983333333
"2017-09-16 21",3651.79233333333
"2017-09-16 22",3673.163
"2017-09-16 23",3697.09883333333
"2017-09-17 00",3661.35866666667
"2017-09-17 01",3617.74216666667
"2017-09-17 02",3618.65816666667
"2017-09-17 03",3606.64666666667
"2017-09-17 04",3570.14933333333
"2017-09-17 05",3555.68883333333
"2017-09-17 06",3566.57083333333
"2017-09-17 07",3564.32766666667
"2017-09-17 08",3539.97
"2017-09-17 09",3541.45766666667
"2017-09-17 10",3567.35216666667
"2017-09-17 11",3539.20633333333
"2017-09-17 12",3538.11633333333
"2017-09-17 13",3593.19333333333
"2017-09-17 14",3635.372
"2017-09-17 15",3634.12433333333
"2017-09-17 16",3696.2105
"2017-09-17 17",3705.1875
"2017-09-17 18",3706.02933333333
"2017-09-17 19",3722.712
"2017-09-17 20",3714.27116666667
"2017-09-17 21",3699.5955
"2017-09-17 22",3711.01933333333
"2017-09-17 23",3707.7595
"2017-09-18 00",3715.76016666667
"2017-09-18 01",3740.26833333333
"2017-09-18 02",3793.5945
"2017-09-18 03",3828.9085
"2017-09-18 04",3787.708
"2017-09-18 05",3809.10033333333
"2017-09-18 06",3857.2675
"2017-09-18 07",3970.4655
"2017-09-18 08",3947.64733333333
"2017-09-18 09",3934.39966666667
"2017-09-18 10",3887.41683333334
"2017-09-18 11",3950.2935
"2017-09-18 12",4009.548
"2017-09-18 13",4084.359
"2017-09-18 14",4065.803
"2017-09-18 15",4010.611
"2017-09-18 16",3980.15633333333
"2017-09-18 17",3955.55633333333
"2017-09-18 18",3978.01583333334
"2017-09-18 19",3972.6765
"2017-09-18 20",3963.97116666666
"2017-09-18 21",4014.59366666667
"2017-09-18 22",4053.5085
"2017-09-18 23",4035.19383333333
"2017-09-19 00",4049.85166666667
"2017-09-19 01",3975.52066666667
"2017-09-19 02",3952.80333333333
"2017-09-19 03",3962.91633333333
"2017-09-19 04",3961.19266666667
"2017-09-19 05",3876.12333333333
"2017-09-19 06",3922.614
"2017-09-19 07",3922.07466666667
"2017-09-19 08",3929.14583333333
"2017-09-19 09",3946.83766666667
"2017-09-19 10",3952.06866666667
"2017-09-19 11",3999.36183333333
"2017-09-19 12",3992.28416666667
"2017-09-19 13",3981.177
"2017-09-19 14",3946.0625
"2017-09-19 15",3943.93816666667
"2017-09-19 16",3966.0625
"2017-09-19 17",3975.84
"2017-09-19 18",3968.1735
"2017-09-19 19",3914.62016666667
"2017-09-19 20",3861.79433333333
"2017-09-19 21",3881.6025
"2017-09-19 22",3878.56333333333
"2017-09-19 23",3906.83783333334
"2017-09-20 00",3896.91216666667
"2017-09-20 01",3880.76066666667
"2017-09-20 02",3875.89916666667
"2017-09-20 03",3882.50033333334
"2017-09-20 04",3847.34683333333
"2017-09-20 05",3843.22866666667
